ALJARAFE_O3_AT_IN,ALJARAFE_PM10_AT_IN,ALJARAFE_NO2_AT_IN,ALJARAFE_TMP_Media_AT_IN,ALJARAFE_VV_AT_IN
43.0549,63.7005,19.7575,22.6899,3.69176
113.989,34.8456,10.4814,20.1892,7.68676
41.1811,20.936,30.9797,15.7127,9.32629
76.0516,23.6925,8.53197,14.8309,17.5117
140.166,8.50858,5.4713,18.0913,3.38897
45.9333,21.9931,19.9173,32.9447,7.15603
76.0941,48.0039,16.571,24.2852,5.57696
45.6876,26.1589,18.1985,16.4967,10.437
118.417,65.6067,1.4169,33.4077,23.0205
97.4888,26.0907,8.52881,16.5846,5.49371
47.9982,57.4309,24.744,22.8438,23.9876
110.272,62.5849,8.28011,31.0215,5.44196
47.8157,7.55756,24.038,18.7278,11.5045
22.8244,59.1184,29.1319,6.37978,22.0808
38.1541,17.241,18.8171,9.34797,8.50574
86.6175,6.471,3.34002,34.6397,8.82537
12.8993,76.5693,55.3829,11.4178,5.42571
63.1121,50.2384,25.8847,29.8456,18.7412
74.1127,49.2553,3.08324,17.4265,14.105
62.3882,58.8394,44.0324,30.1503,12.3425
54.5372,5.43019,3.24766,8.33081,3.95972
105.991,74.5045,20.8588,47.1101,16.2523
56.7339,17.994,0.760081,16.6038,15.1458
27.2963,57.7952,36.6106,25.178,13.3378
68.1314,48.873,16.098,31.721,5.15772
73.66,29.2045,2.35784,28.7971,2.76216
54.3482,39.6222,32.6407,16.9105,4.09747
68.7301,81.0806,26.2246,32.643,15.3135
19.7426,14.9532,33.7038,4.93285,-2.95806
22.5187,12.3753,23.0956,8.48592,4.60569
43.7976,21.8364,11.0507,23.0871,18.9987
45.0749,25.0008,9.95177,12.7361,14.8124
39.6462,71.5157,28.0934,16.8418,12.7965
39.8467,11.3665,14.5955,13.3578,7.88884
31.9097,11.8486,3.80217,17.7053,16.9544
4.6421,13.334,27.6522,15.7798,3.92641
90.0345,13.0806,3.97092,17.7277,6.28064
75.0318,19.7944,16.6413,29.2298,24.2464
59.3523,14.3688,22.3816,10.0941,-1.44639
125.717,56.2023,15.356,37.6842,15.6024
38.3394,27.9885,17.4587,26.6438,10.4141
72.6189,62.6584,12.3058,22.7515,1.04957
96.8095,13.4784,0.709198,28.7018,8.73556
88.1268,12.4174,8.79687,37.24,18.5863
18.8559,23.4893,32.2876,19.4037,-3.89549
45.8534,11.3454,17.1585,14.477,5.37302
13.3651,2.9975,22.6541,6.52648,3.24238
47.0497,9.69542,10.4617,15.306,3.48057
28.7277,28.2998,26.2277,12.4231,1.91776
70.9206,27.0493,15.6805,12.6102,23.1319
61.7355,100.62,40.6513,24.1555,11.8712
15.5233,9.73421,34.3139,10.6044,9.00078
42.8551,45.0404,62.9229,34.4927,15.8172
80.0656,89.5499,13.2789,30.2387,-7.19337
54.1335,16.4654,15.7793,20.0155,12.7558
64.0304,29.8222,4.94,18.1983,17.4303
23.7855,55.5856,14.8321,18.0686,9.45798
152.749,85.715,3.61823,37.398,18.2441
107.288,9.25501,9.62654,36.108,15.5311
102.908,5.53692,4.3167,19.471,14.4617
73.7465,68.5584,33.9872,18.6738,10.4521
42.0354,43.7866,22.9481,13.3244,13.0039
72.1524,44.1062,16.151,16.8014,7.9478
47.255,17.8923,12.6289,20.5551,22.1212
80.4581,19.8984,3.04763,14.1265,7.06834
62.6469,19.8228,17.3893,9.78192,21.1395
7.31012,75.5819,23.6394,6.54213,9.03042
124.882,24.8557,2.97857,33.1507,24.1503
58.4159,42.2211,26.205,29.5805,23.0393
113.613,17.5675,4.19389,29.1937,19.9274
73.1075,12.6013,15.4077,11.7817,3.87561
85.0073,27.6188,27.334,32.2469,23.0825
78.7002,15.7192,9.14387,15.2002,23.2932
57.3384,9.29622,12.3509,15.5015,12.9897
46.7723,46.6825,9.77595,18.3331,4.57646
145.305,54.1868,22.491,42.6592,28.6554
107.826,10.3656,14.8801,31.973,15.3325
55.6308,32.5534,21.6699,22.6621,5.2406
35.0534,56.6659,49.8922,13.4116,4.5868
97.2186,66.3719,19.9605,20.6561,9.63483
135.985,32.7797,8.46653,35.9782,27.5121
29.8923,58.4986,21.9295,15.4037,0.691734
79.7942,73.2051,28.4059,36.593,16.3446
52.7365,58.6374,12.7836,17.0274,13.3399
95.8226,21.4073,9.55749,32.65,-0.247944
32.2655,104.97,15.6992,16.7162,6.66206
28.6111,44.9061,13.298,12.6616,3.27091
50.7979,54.5927,15.0351,16.5854,5.12399
69.0196,82.0597,28.5866,24.7328,5.42328
38.0935,48.3587,11.8564,15.0456,4.5414
45.2597,26.1501,34.2595,22.7098,7.86911
136.294,22.5644,21.6542,23.3833,5.90624
51.6254,61.2074,24.5849,21.6682,6.04823
28.7421,27.1603,21.4866,14.9765,0.412349
57.753,40.6296,11.5342,24.104,9.53683
69.5025,21.7876,25.7817,23.2489,2.3006
40.6072,20.4794,18.5461,13.9575,0.740834
92.1619,45.6044,40.5948,28.1586,18.5791
128.141,22.2791,-0.403314,30.9788,9.23604
50.2662,14.8997,5.76515,9.06032,6.16648
119.461,21.3469,12.8289,28.8512,15.1926
99.6653,97.4629,9.00582,32.1915,8.28275
35.3922,52.8501,19.5222,22.1977,7.97573
66.5948,29.7399,22.3472,29.8758,8.90245
59.3529,12.1653,22.5011,21.9134,11.4062
149.566,18.668,1.52163,31.2037,14.6104
13.8761,2.33978,42.2756,8.53177,5.07475
45.4792,33.07,7.9758,15.6229,11.8149
127.219,48.0377,18.4231,42.2049,40.2432
104.895,44.5112,10.3297,26.7945,7.39057
55.4732,9.79736,11.7783,14.1483,1.2347
52.6133,53.3597,9.63077,15.6102,0.0686361
104.287,9.37243,11.788,20.631,5.44831
54.7634,32.9201,36.8102,25.067,-3.20752
7.78647,27.5537,28.3399,-0.0943546,1.46345
27.7666,62.1223,58.0312,19.0981,9.43784
12.6016,37.0608,52.9113,6.43765,18.8735
28.7346,11.3834,33.2049,14.7355,1.39727
40.7388,54.8781,80.4959,21.2562,3.6709
103.445,21.798,13.0784,24.7781,14.9353
68.4256,17.3987,18.3165,25.0718,10.2105
42.5461,15.8486,43.5151,10.0438,-7.59722
20.1615,32.5905,30.0367,7.63964,5.5495
18.3009,25.6814,49.719,13.5044,4.26801
82.6506,17.1023,9.63605,7.55662,4.04133
56.9111,65.9832,11.9831,12.737,7.09274
44.9258,18.4258,20.541,12.4509,4.32751
148.28,53.0497,2.33417,39.5737,18.195
30.444,124.496,20.6085,14.8418,10.2152
67.8451,21.7933,1.42194,19.3523,3.65195
70.7818,15.9746,11.989,26.2704,13.7951
78.3786,37.525,10.9736,13.6422,4.09519
11.963,37.0793,47.4198,15.3587,5.90267
68.1009,52.3316,16.3815,23.564,4.03074
69.4876,8.85786,2.41767,16.6268,16.7956
105.72,63.2745,20.5571,27.493,15.174
50.4279,6.9239,34.5725,25.9787,8.9154
53.1508,9.8315,22.4959,30.924,-3.05052
27.5674,28.9468,49.1145,15.6703,-3.01129
87.6589,98.5432,0.311613,19.0145,9.13516
86.1525,120.966,10.4245,37.3886,5.91389
40.2553,8.97069,7.68204,8.78555,9.04658
21.8956,41.1905,78.1925,18.8557,2.88271
107.966,23.6688,5.03207,14.0982,5.33295
39.6368,9.25725,12.5083,16.9501,28.5881
160.947,15.973,6.33504,40.8215,4.52769
61.0133,38.8944,5.04962,16.6041,0.810128
43.8875,32.3642,19.0799,20.7332,12.9523
83.5506,9.12721,6.02489,13.4893,13.5043
83.37,55.1743,18.6372,30.9347,12.2106
38.3725,33.1377,25.9055,26.9788,5.42967
68.6812,46.2079,36.4089,24.0567,2.77179
40.2179,9.01615,21.6148,10.8182,5.21223
72.6356,7.65882,8.9206,21.9529,3.62138
123.184,41.668,3.81048,16.8864,10.907
61.9388,45.592,12.7145,22.5302,3.38606
60.6755,28.631,20.7158,30.1935,13.217
91.864,35.3941,3.19128,27.669,1.24806
64.037,20.3569,12.2629,23.3399,-1.27997
72.5372,14.6382,31.4121,21.8792,5.38773
106.226,51.5053,8.88102,33.1717,12.7718
40.7657,79.9469,4.636,16.3068,6.66167
72.4013,42.6171,21.0658,28.3724,12.359
56.7151,108.084,40.9696,20.0531,15.0352
29.1447,49.7984,20.0228,16.0707,22.4609
76.271,26.8695,11.3564,20.8903,6.23695
64.3296,12.0306,15.8937,23.5989,7.9386
66.6594,55.8103,22.289,24.7866,11.1446
39.6226,109.16,27.6643,17.1063,9.77104
125.78,67.3544,7.40236,22.8433,20.7335
50.5055,50.5139,74.397,16.4122,8.51191
31.6876,47.9745,55.8846,13.8469,-3.22719
13.0799,5.45113,46.5887,10.9749,-1.75089
147.436,3.82462,2.10436,25.5623,19.9563
33.1362,108.037,38.4079,20.6158,3.79055
72.072,34.8273,2.37971,6.42708,2.10574
36.347,22.7902,35.1581,15.71,13.655
93.5827,45.5027,17.6408,33.0681,1.77705
46.6658,20.6526,43.1828,26.0957,21.3965
56.1593,7.56347,5.62853,31.2222,18.0797
36.3486,58.1424,29.2806,20.3308,9.3142
74.193,76.9105,20.4071,28.6323,-1.22492
19.2195,39.6832,21.6691,8.62864,-2.37228
24.5001,10.6594,35.5278,14.5659,17.7686
113.052,27.9739,6.57082,25.8286,11.3253
25.3676,3.86375,8.96546,5.38552,3.66218
79.3481,12.8034,9.18099,25.2827,3.33094
37.4242,15.6479,19.3015,8.84848,9.09236
50.1103,52.6562,32.3023,33.6393,8.33777
18.5107,35.4961,30.9591,8.76656,4.91352
60.6537,155.22,35.4233,28.1261,16.3942
89.3637,82.0804,17.1119,24.03,10.887
110.186,21.044,15.6501,30.0412,-0.142521
119.754,15.1022,4.43277,28.1574,1.28192
39.6815,25.5214,8.38944,10.2818,15.6663
35.1709,14.952,30.6166,12.4693,2.12649
31.774,53.2158,12.5076,17.205,-0.077863
44.1371,168.614,38.4235,38.852,12.0174
28.906,9.97931,27.0804,11.3583,-1.16032
35.7577,78.8218,15.2427,18.8281,25.2957
43.8089,8.26247,6.425,27.1526,5.91766
20.3278,38.0165,23.8291,5.99526,3.56894
76.0036,32.4153,6.79368,27.1169,14.2528
46.3809,32.7243,31.8625,4.88555,0.519102
59.8901,64.8332,27.2419,28.5306,6.52633
35.6372,83.291,31.076,17.1584,7.81684
125.669,19.9613,14.4889,33.3992,10.5266
65.9436,8.65549,29.6309,20.392,9.51098
18.2103,12.6071,36.9808,6.75497,1.73385
50.2234,33.1748,41.0918,17.2629,2.22687
29.2656,42.7385,35.6812,13.9282,9.82502
40.3558,8.63902,13.1802,9.18758,29.5652
28.846,26.0897,20.5837,15.8094,-0.119643
53.4775,102.685,25.4168,19.7256,-1.76686
25.6979,26.6528,3.24864,-1.8811,2.31031
41.9081,23.6533,39.1099,19.7231,11.0441
29.6613,9.12023,36.9085,4.2568,9.20579
68.4807,82.9114,5.84153,29.51,4.1839
60.1027,30.0068,35.2037,21.8456,15.4976
105.804,52.4745,8.41785,33.2486,8.2145
62.1793,31.6005,13.7671,29.0877,2.2284
66.4051,15.0368,42.8609,25.5632,1.61582
87.4945,38.7742,26.1536,20.3389,13.5921
28.7167,73.1719,51.7777,22.7898,14.4599
47.2184,11.5772,8.62073,12.385,8.35788
83.1571,34.4653,30.0722,25.295,7.74841
39.5673,20.3088,13.0917,13.1561,17.164
50.89,56.1094,23.327,19.1697,21.557
31.6719,85.5235,82.8306,20.8566,34.5845
92.8299,21.6313,13.387,29.9807,6.77064
144.041,26.8297,3.4163,32.3695,28.5894
100.729,15.4364,7.08197,23.3053,10.5991
38.3059,12.0347,50.0393,26.8495,2.70131
145.353,23.25,3.84079,36.1254,13.1326
81.9007,19.978,32.5784,18.4382,26.4472
45.5046,33.9343,13.0201,16.6337,4.50935
23.2708,13.5089,21.1968,12.7475,11.1264
55.395,20.054,21.3815,9.94334,17.1886
25.8219,59.5332,24.4106,10.9588,5.78059
37.1589,10.5003,23.8753,17.9647,8.25311
39.6512,10.3611,1.12671,10.603,4.85993
75.2943,30.3504,10.6282,11.5967,21.9081
77.0814,73.0508,11.2416,23.4038,3.53539
29.6665,53.9969,45.9989,14.4473,4.91743
20.4581,13.1035,45.3667,11.2624,-0.975436
18.9259,61.0922,37.3851,17.1178,21.5004
70.0216,15.2723,8.67703,11.4945,21.4396
115.251,50.6449,5.25074,37.2108,13.6376
41.5565,65.4699,19.4512,22.1483,3.70468
46.547,12.3809,8.62984,14.6547,2.22012
93.2291,35.4175,19.4493,35.693,25.9236
67.0771,69.1915,35.8702,15.4018,3.96043
20.5237,28.3227,35.5626,16.0809,1.88311
61.3369,38.9162,23.689,15.5992,0.976646
29.8886,26.341,20.3734,28.7444,0.932848
94.5793,8.54368,20.2386,26.2822,0.326442
54.0129,7.51618,9.75491,21.9048,17.4405
145.269,5.56977,1.8607,22.3603,2.83198
61.3312,18.6074,16.7301,18.7797,4.01872
97.3349,29.296,13.2781,20.0358,2.53218
85.1047,11.693,14.1522,25.9539,11.9534
50.5864,42.1382,29.113,15.3,9.98783
26.5624,16.8845,18.7188,22.638,4.28639
43.8688,23.9989,42.2268,23.9936,14.6093
59.9499,23.2145,4.83841,10.8855,4.60806
106.508,48.7018,8.87762,20.345,12.7807
54.4972,18.3381,27.1515,16.6751,24.5938
98.1419,15.6749,16.6046,32.692,13.692
90.0848,23.0941,17.1743,34.2277,1.19778
38.1216,23.0485,35.9557,10.0969,3.89992
16.8885,22.2163,21.5837,11.0102,7.67902
67.4986,95.3207,23.4191,23.4344,18.0139
30.9409,113.211,21.4913,8.71549,10.9232
129.148,23.3599,6.97045,24.6579,13.9815
55.629,73.8529,19.551,17.3894,15.4718
15.7772,19.1524,39.4041,8.90173,0.873374
23.5514,3.73719,16.6657,16.9467,-0.448454
67.8974,28.5037,34.3235,23.2438,9.00669
51.6202,40.6927,9.13376,11.5112,2.81043
80.5192,41.1168,27.2371,26.344,-2.10382
51.3999,25.8202,12.5657,10.0881,2.03894
32.6573,12.1926,13.1208,18.2145,11.7751
99.6821,49.4103,6.82062,35.0871,20.4123
23.5339,15.4475,17.585,7.8037,-1.91016
30.7567,13.9641,28.3037,7.70018,20.8257
61.8226,28.8282,22.7011,19.4595,11.4284
68.4572,86.1055,10.9216,21.4099,-0.792898
81.8874,19.7959,14.4166,31.4806,12.5936
33.2765,11.5106,22.458,18.1399,8.83581
85.2078,66.8692,7.69192,23.1765,6.04832
90.946,6.29435,5.13606,20.0602,10.7505
11.2302,26.0654,45.6478,11.6245,3.64681
82.1777,34.5213,12.4804,12.371,3.75683
51.1689,119.621,29.2681,19.8441,19.5641
64.685,10.3071,15.94,13.7269,6.19861
90.7533,21.4049,14.2554,28.488,9.56344
39.6998,44.4706,45.2842,20.846,8.54953
120.792,42.2677,1.5812,25.7655,14.261
111.733,26.5674,3.70848,19.2404,14.6624
44.4123,15.2019,18.6336,21.135,12.2017
109.585,16.6336,11.9392,31.3127,10.0184
40.6712,0.00138403,7.34447,7.16631,11.3831
48.7096,39.0321,55.6204,20.3996,0.960292
56.9636,38.815,24.7347,19.5789,5.62356
9.91115,9.89786,29.5319,10.5377,12.0293
18.4055,52.0903,27.9714,11.2999,18.9016
64.5306,34.5833,12.1663,23.5423,8.3116
44.0623,9.67559,33.7661,21.0829,1.94445
74.2613,65.3134,23.6696,34.4704,15.7692
94.2323,37.7545,2.89472,26.1579,10.2439
91.7789,7.53794,7.48657,28.5958,15.1874
19.5519,37.0326,44.4835,4.70952,2.52473
52.9951,19.67,19.4087,23.5333,10.6216
30.7658,122.997,24.6096,24.2993,1.40547
49.3586,70.518,36.7062,29.5489,8.69821
35.9511,92.1801,15.1696,19.2475,5.21415
4.56415,145.811,48.5457,2.82279,23.6476
23.4579,10.7847,30.3716,13.2349,7.0411
140.273,11.1015,5.47201,27.3566,31.442
105.172,24.7827,9.53829,34.7324,20.5945
98.6807,14.6219,4.7628,29.1303,17.9015
110.85,13.8931,7.36443,22.9906,5.52764
95.1162,10.3991,15.6436,28.4161,8.66202
10.3694,53.5092,43.1936,9.73168,-1.13372
33.5765,7.3763,41.214,11.9534,7.68615
117.651,7.79184,0.565341,20.6863,5.38194
112.75,17.0763,5.84815,25.8969,9.82184
37.8106,63.7854,39.9867,20.9645,0.989142
69.6399,65.7779,11.1251,21.4494,5.28175
28.523,82.9788,43.2627,14.7449,6.00268
65.4321,17.8846,19.1981,21.5286,11.6854
48.5798,0.857067,20.1061,10.3735,5.56288
61.6235,6.02809,10.8794,14.4023,1.72416
24.1142,29.3676,20.4768,10.4805,-0.781948
57.5513,24.5427,15.7248,15.7603,12.6174
41.3198,33.0511,32.8553,19.3825,16.581
61.733,88.1733,54.1888,31.6414,7.52166
89.0199,60.5455,0.957262,19.9077,7.57121
53.777,7.32327,7.88798,15.6702,31.3205
28.5686,32.9599,29.7014,16.2267,7.77563
99.1463,36.0917,7.53104,20.6851,36.6212
61.1087,23.2164,3.31237,26.3436,3.39715
117.929,10.4663,14.3341,30.0102,39.8233
129.642,47.301,4.14439,36.1253,26.3143
42.4674,31.6513,27.7368,17.0879,19.0534
67.2026,76.5895,18.2444,29.7239,16.8878
57.0064,5.89473,1.26099,6.07409,0.706214
60.0305,44.1059,15.0162,20.4887,2.93572
58.2448,34.8196,18.2042,25.0249,13.413
44.1866,13.5641,17.1252,19.145,13.9185
134.646,8.17425,9.43819,31.8748,-0.243348
20.367,35.5821,20.8952,11.0796,3.46826
13.6662,15.7678,52.1433,10.5339,4.09339
5.19061,65.9528,88.2121,14.3187,3.21437
103.528,32.8204,13.1354,20.0616,12.5592
53.085,30.4906,39.3024,34.4152,24.9571
35.0018,50.3661,26.0423,23.2737,-0.642899
83.7127,16.6584,2.37667,26.8217,10.967
40.3689,34.45,13.5539,19.3077,16.7933
89.314,5.89844,7.1844,29.2999,6.44356
68.6593,39.0505,26.3076,19.4933,13.6008
25.2403,32.1329,23.515,5.05974,5.45801
50.1092,34.6241,8.10745,10.5663,18.4564
73.3091,26.2692,17.1796,28.7998,41.7
117.205,26.6918,-1.68083,26.8221,9.7346
91.0165,63.1046,18.5397,22.2702,34.0696
86.0342,8.33707,5.54478,26.1997,14.771
68.9001,10.574,16.7613,21.3395,22.9035
69.8998,8.4409,6.27546,13.1099,18.6636
60.8084,73.5141,26.6605,33.6465,7.9301
24.4069,26.5954,22.3104,15.8352,15.2452
69.3601,12.7808,9.33269,26.7424,0.780332
59.2141,23.6418,21.3878,17.5262,19.6482
81.7277,29.7862,14.3943,29.0586,3.7419
44.9024,29.0103,9.68077,14.3107,4.47602
114.602,12.8966,-2.36467,25.4068,3.79054
33.6306,78.7964,36.9122,25.8108,0.0077337
43.5129,34.4356,22.0146,16.3091,0.902206
145.994,83.8913,7.17949,31.6533,19.1217
65.1879,26.495,30.5306,18.871,22.7515
86.952,14.5582,10.6734,23.8898,25.7231
145.289,15.4051,-1.70405,35.3169,13.3254
91.6563,47.6657,9.93722,17.7508,22.5695
66.9485,26.9089,10.8624,22.2281,7.46709
25.3192,25.9796,19.2563,12.7717,1.79108
118.905,33.6957,6.36869,40.4306,13.245
77.4599,62.9683,18.7779,30.5981,3.57043
23.8503,15.3818,29.1557,3.86799,0.677008
46.4279,6.02358,18.0557,15.6295,2.00796
66.6425,25.1315,29.9558,17.9443,12.0511
50.2044,16.5778,12.056,12.468,7.26348
79.9524,82.8128,25.9022,25.3578,5.15927
25.6978,30.7511,11.401,19.0396,19.5206
26.0382,33.8624,31.0113,15.2501,0.838792
31.1716,19.1933,28.0756,7.91512,0.637967
34.9658,19.5859,42.6112,9.94865,19.9975
51.6795,25.3113,7.9922,14.6148,6.79679
58.376,36.8018,13.2228,7.67602,3.19702
50.2991,8.19949,15.9049,16.4749,3.91515
43.9328,32.1759,19.0994,15.9018,15.1429
40.6875,37.2563,4.25579,23.5418,14.3749
44.8309,25.7606,10.6382,20.2308,2.77846
109.642,37.6035,8.57623,19.861,3.55913
54.0981,28.3421,13.2276,9.89366,-2.41196
48.9984,19.9463,19.5357,22.2304,3.30447
57.8832,10.9209,25.0932,13.5617,4.84676
80.3452,38.8391,13.5054,21.4023,12.4528
56.104,24.9406,18.5819,12.0631,-0.886868
102.169,11.4628,29.5685,23.84,27.2808
60.2276,29.2415,20.9377,25.2927,2.64958
30.8537,24.0995,14.4711,12.5054,-0.842249
63.5395,7.6271,14.1294,10.3453,19.6994
47.7796,25.6844,24.6858,4.87701,8.4989
65.6082,13.9632,9.00367,9.64565,37.6234
67.5816,68.5118,10.4105,16.7813,16.4197
44.9963,6.48551,46.667,18.0006,9.09367
18.3584,71.4268,13.8804,11.4981,5.84469
40.0598,85.1435,14.8771,25.1325,11.1496
71.2516,7.6192,8.4402,17.3435,2.96823
33.0914,67.6469,59.8334,20.9072,11.9837
71.3671,12.905,35.5775,32.3955,2.57931
118.468,15.1087,4.77689,25.0894,14.4856
42.0892,49.7659,26.7961,13.7782,11.1621
17.2198,176.998,59.701,11.8517,7.04629
13.5385,48.8628,68.0029,27.1389,6.28658
76.2694,72.0682,10.5136,19.9841,1.88262
59.7907,36.5672,11.782,20.933,1.81374
38.3232,13.8881,24.1416,25.8392,9.25555
55.7051,24.2929,12.7631,14.3824,-0.350183
37.8564,34.0554,16.2772,20.6512,21.9399
52.9866,24.642,14.1435,20.6622,4.90458
13.8067,38.8094,47.5615,16.8554,4.5687
50.1228,15.785,21.9718,20.4354,6.91433
46.381,27.6944,18.5687,15.6034,2.62286
31.0863,31.297,7.15004,17.3196,-0.270241
52.6916,24.3772,8.62355,23.8681,9.58382
73.3509,39.3232,14.3385,32.6409,10.2275
44.9992,15.6805,12.076,20.4512,-0.584837
66.4487,25.5626,12.2965,16.181,12.1368
64.8347,55.1268,11.9399,24.3403,7.60203
75.6418,118.095,15.8417,30.1167,16.1157
55.3126,15.0062,22.7715,15.2437,4.85123
47.0855,103.383,29.1239,13.5648,0.167186
47.4915,78.8631,23.2011,27.1529,17.2027
46.5198,7.04997,29.9245,10.5754,7.59078
56.9769,44.1656,11.8803,28.1143,7.84639
108.293,92.4585,18.7563,32.2302,12.1825
86.1655,-0.197064,3.67148,13.7729,8.23518
36.6465,11.0032,21.4616,24.9908,1.19673
22.8053,38.4654,34.1283,17.484,8.66716
64.2218,94.2188,14.4937,27.2228,9.97713
34.5903,31.6838,10.8863,20.7022,2.48342
40.1336,72.1682,30.842,32.5106,4.01973
69.2315,18.7646,10.594,20.5454,1.28097
133.447,116.033,7.80637,39.4023,21.4096
96.7884,14.4236,11.8088,24.3095,9.41018
54.0915,13.7121,25.133,16.8985,6.82768
18.4745,7.55227,18.1407,10.5773,10.0508
