ALJARAFE-O3-AT_IN,ALJARAFE-PM10-AT_IN,ALJARAFE-NO2-AT_IN,ALJARAFE-TMP Media-AT_IN,ALJARAFE-VV-AT_IN
94.3333,40.6667,5.6667,21.6667,22.6667
88,60.8333,6.5,19.5,24.8333
78.6667,48.1667,8.1667,18,15.6667
66.6667,29.6667,8.6667,17.1667,12.1667
51.3333,28.5,6,16.1667,8.8333
33.3333,22.3333,8.6667,15.5,6.8333
33.6667,26.5,6.8333,15,10.1667
32.1667,23.6667,8.1667,15,6.6667
31.6667,20.1667,9.3333,14.8333,6.8333
40.3333,19.6667,6.6667,15,5.8333
35.8333,19.6667,6.5,15,3.5
26.1667,24,17,15,8.8333
32.8333,24.8333,15.6667,15,6.6667
35.1667,16.5,19.5,15.3333,11
43,14.5,13.1667,16.5,13.3333
53,5,14.5,18,15.5
61,5,10.6667,20.3333,14.5
70.5,9.3333,10,22,13.8333
81.3333,12.8333,8.6667,23.8333,15.6667
88.8333,24.3333,8,24.6667,14.8333
94.3333,21.5,7,25,14.3333
97.1667,8.5,6,26,14.3333
100.5,10,6,26,9.6667
99.6667,19.5,6.8333,25.1667,6.3333
94.5,20.3333,11.1667,24.6667,8.1667
77,44,13.8333,23.3333,12.5
60.8333,37.5,18.1667,22.1667,12.3333
50.3333,31.8333,20,21,11.8333
50.1667,14.3333,18,21,15.5
65.3333,10.3333,9,21,18.3333
65.8333,5.1667,11.6667,21,16.1667
66.5,11.5,11.5,21,13.1667
65.1667,11.6667,10.6667,20,13.5
66.5,10.5,7.1667,20,15.1667
59.8333,11.3333,8.6667,19.8333,14.5
59.5,8.6,8.1667,19.3333,15.3333
50.1667,13.5,13.3333,19,14.1667
51.8333,10.6667,13.3333,19,15.8333
53.6667,8,9.5,19.6667,17.6667
54.5,5,8.6667,21.5,18.6667
59.5,21.1667,9.3333,21.6667,18.6667
64,5.3333,9.1667,23.5,18.8333
84.5,5.3333,6.1667,25.5,20.8333
89.8333,9.5,7.5,26.8333,20.1667
93.5,17.3333,8.5,27.6667,19.8333
100.5,15.1667,6.3333,28.3333,21
105.333,14.1667,5.5,28.8333,17.6667
107.667,10.6667,7,29,18.3333
104.667,20.3333,8.6667,28.5,17.8333
97.3333,32.5,11.1667,26.8333,10.8333
85.1667,37,16.3333,24.5,6.8333
76,19.6667,19.3333,23.3333,9.6667
71.3333,17.6667,18.6667,22,10.1667
59,24.1667,20.8333,20.1667,4.6667
39.3333,25.1667,24,18.6667,5.6667
28,23.1667,35.1667,18.6667,7.8333
36.3333,19.1667,31.8333,18.6667,10.3333
51.3333,21.8333,16.8333,18,14.3333
51.1667,19.6667,12.1667,17.1667,14.8333
52.1667,9.8333,16.8333,17,16.3333
34.5,18.5,36.6667,17,17
25.5,20.5,49,17.5,17.3333
32.3333,7.1667,43.5,19.3333,19.1667
48.8333,17.6667,29.8333,21.1667,21.3333
70,15,25.1667,23.6667,21.3333
86.8333,11.8333,18,26.5,23.5
102,19.6667,10.6667,28,23
107.5,21.5,9.5,29,24
110.5,13.5,7.3333,29.3333,25.3333
115.833,16.1667,5.8333,29.6667,26
115.5,11.3333,6,30,21.8333
113.167,12.5,6.6667,30.1667,22.1667
110.167,18.5,10.5,30,14.3333
108.333,38.6667,10.6667,27.5,16.8333
89,46.5,18.1667,24.3333,11.8333
76.1667,23.1667,22.3333,22.8333,8.8333
76,26.8333,15.6667,21,5.6667
76.5,15.6667,11,20.6667,7.8333
73.8333,5.3333,15.1667,20.1667,8.3333
61.6667,15.3333,17.1667,19.6667,12.5
66.3333,18.3333,11.1667,18.5,18.5
73,13.3333,9.1667,18,20.1667
79.5,33.3333,9.5,18,22.1667
77.3333,16.1667,14.1667,17.6667,18.5
61.6667,12.8333,28.6667,17.3333,21.6667
44.6667,20.6667,46.1667,18.5,19.1667
49,10.5,39.8333,19.6667,20.1667
63.1667,22.3333,26.3333,21.8333,24
76.8333,13.8333,22.8333,24.3333,24.8333
87.8333,15.8333,20.8333,26.8333,23.3333
101.167,25.3333,14.6667,28.6667,25
109.833,25.6667,11.1667,30,28
112,15,8.5,31,24.6667
113.667,10.3333,9.5,32,20
113,13.6667,9.8333,32.1667,20.8333
111.333,17.8333,10.6667,32,19
98.1667,32.5,19,30.3333,16.1667
92.6667,37,28.1667,28.5,13
60,42,63.8333,26.8333,10.6667
45.1667,40.5,58.1667,25,9.6667
50.3333,45.6667,32.5,23,6.5
40,38,38.1667,21.8333,5.5
36.3333,34.6667,43,21.6667,7.6667
60.6667,32.3333,14.6667,20.5,12
63.5,15.3333,14.3333,20,12.6667
70.3333,12.8333,10,19.3333,17.3333
65.8333,12.8333,10.1667,18,11.6667
63,14.1667,16,17.8333,14.3333
43.6667,16,35.8333,17.5,12
33.3333,22.8333,44.8333,18.3333,15
37.1667,15.1667,43.8333,20.3333,14.5
47.1667,23.6667,37.3333,22.8333,14.1667
60.1667,25.1667,37,25.6667,14.3333
77.8333,36.6667,37.1667,28.5,13.3333
96.8333,23.5,28.1667,31.6667,9.1667
110.833,44.6667,22.3333,32.3333,9.5
119.167,22.3333,10.5,33.6667,14.3333
111.333,55.3333,5,33,28
109.667,37.8333,5.1667,32.6667,24
106,36.8333,6.3333,31.6667,19.8333
92.6667,52.6667,9.1667,29.5,17.5
85.5,71.6667,10.6667,26.5,17.6667
85.6667,59.6667,8.6667,23.8333,15
80.6667,49.6667,9.6667,22.1667,10.1667
78.5,48.1667,10.8333,21.5,7.6667
86.5,31.6667,7.6667,21,5.5
80.5,67.3333,10.6667,21,6.1667
74,25.8333,12.1667,20.3333,7.6667
55.8333,27.1667,18.1667,19.5,5.1667
60.8333,18,14.8333,19.3333,6.1667
62.8333,59.8333,17.6667,19,8.1667
70.3333,23.6667,17.6667,18.6667,13.3333
69.1667,27,23.5,18.1667,17.1667
62.3333,46.3333,41.8333,19,15.8333
73.1667,24,33.6667,20.5,17.1667
92.8333,10,14,22.8333,16
100.833,16,10.8333,25,10.8333
109.333,40,8.3333,26.6667,13.5
111.167,48.5,6.8333,27.6667,15.3333
114.833,49.6667,5,28,16.3333
113.5,38.8333,5,28.8333,18.6667
111.667,40.5,5.6667,29.5,17
114.5,43.1667,5.5,29.1667,18.1667
115.167,49.5,6.6667,29,20.3333
114.5,44.5,8.1667,28,20.3333
117,68.1667,13.5,26.1667,21.8333
105.5,58.5,18.5,24.1667,18.8333
95.6667,55.1667,15.6667,22.5,13.6667
80.3333,56.5,15.5,20.8333,11.8333
78.6667,54.5,13.1667,20,11.8333
65.8333,42.8333,18.3333,19.1667,8
56.6667,81.6667,13.1667,17,5
56.5,67.1667,10.1667,16.6667,5.6667
49,55.6667,8.5,16.1667,6.1667
37,55,11,15.1667,5.5
39.8333,49,19.6667,15.8333,4.6667
50.5,61.8333,18.1667,16.1667,5.1667
65.5,100.333,17.6667,17,5.1667
56.8333,43.8333,17,17.1667,6.8333
58.3333,28.3333,22.5,18.6667,7.6667
79.6667,5,11.8333,22.3333,8.5
92,5.8333,8.8333,23.6667,13
96.3333,17.5,7.5,25.3333,13.5
99.6667,28,5.3333,27.3333,11.8333
101.5,22.8333,5,28,16.3333
99.5,44.1667,5,27.3333,17
99.8333,20,5,28,20
95.5,66,6.1667,26.1667,26.6667
96.6667,26.3333,6.3333,25.6667,27.3333
86.3333,54.3333,8.1667,23.6667,27.3333
75.8333,51.5,10.5,21.5,22.1667
66.6667,21.3333,12.1667,20.3333,22.8333
63.3333,8.6667,12.1667,19.5,21.6667
62.3333,9.3333,10.3333,19,18
55.6667,19,14.8333,18.3333,8.6667
54.6667,25.8333,11.8333,17.3333,9
54.8333,20.6667,11,16.3333,13.1667
61.5,21.1667,7.3333,16,14.3333
57.6667,22.1667,8.3333,15,13.8333
52.8333,23,9.1667,14.6667,8.5
52.6667,21.8333,10.1667,14.1667,12.5
60.6667,6.5,8.5,15.6667,14.8333
66.6667,5,6.6667,17,16.6667
69,6.5,6.8333,18.1667,18.1667
75.1667,7,5.5,19.6667,16.8333
82,6.1667,5.1667,21.6667,15.3333
84.8333,8.8333,5.1667,23.8333,15
87.6667,17.6667,5.1667,25,18.6667
85.8333,12.8333,4.1667,25.8333,18.8333
82.6667,12.8333,3.5,26,21.8333
79.8333,13.8333,4,26.3333,22
74,21.6667,3.8333,26,26
72.8333,16.5,4.3333,25.8333,26.8333
72,34.3333,6.3333,24.3333,25
65.6667,31.3333,11,22.1667,20
57.8333,23,15.3333,20.6667,13.8333
52.5,24.3333,13.5,19,10.5
45.3333,23.1667,16.5,17.8333,4.8333
42.3333,28.6667,15.8333,17,6.1667
52.5,15.1667,10.1667,17,9.6667
54.5,11.1667,8.6667,17,8.1667
53.3333,14,8.6667,16.5,9.5
53.3333,15.1667,7.6667,16,6.6667
39,19.1667,8,15.3333,5.3333
32.3333,20.1667,9.1667,14,6.3333
39.8333,7.8333,10.3333,16.1667,7.6667
50.6667,7.3333,9.1667,19.8333,6
58.3333,28.8333,6,21,8.8333
67.3333,11.8333,5.5,22.8333,12.1667
78.8333,9.8333,3.6667,24,16.1667
82,10,3.6667,24.8333,20
83.6667,23.6667,3.5,24.8333,20.3333
84,14.1667,3.3333,25.1667,20
84.3333,9.1667,3,26,18.3333
85.5,18.3333,3.1667,25.6667,22.1667
82.6667,19.5,4.1667,25.1667,23.6667
75.5,48.5,4.8333,23,26
69.5,59.5,5.1667,20.8333,28
68.1667,33.8333,6,19,22.8333
65.5,27.3333,6,17.6667,17.6667
59.8333,30.3333,5.8333,16.8333,12.6667
55,33.1667,5.1667,16,9.1667
51.8333,34.1667,5.3333,16,5.8333
48.3333,32.5,5.1667,15.3333,5.3333
52.3333,22.5,6,15.8333,8.8333
61,11,5.5,17,7.5
54.8333,18.3333,8.5,16.3333,9.6667
55.1667,18.8333,12.8333,16,18.1667
50.6667,21.6667,19,15.3333,20.8333
48,22.5,24,15.6667,17.8333
56.6667,11.1667,14.1667,16.5,26.1667
60.8333,35.6667,9.5,17.8333,27.3333
65.5,38.1667,8.8333,19.5,32.1667
69,91,7.6667,20.5,30.6667
70.3333,61.1667,7.5,21.5,27.3333
72.3333,49.1667,5.8333,22.6667,29
74.6667,43,5.1667,23.1667,31.6667
75.3333,62.8333,5.5,24,28
78.1667,40.5,6,24,28.6667
80.6667,38.1667,6.5,23.5,27.5
80,22.3333,8.6667,23,25.6667
76.1667,38.8333,13.3333,22.1667,27.5
67.6667,37.6667,21.3333,19.8333,20.3333
64.6667,22.1667,18.3333,18.6667,16
70,17.5,9,18,20.6667
66.6667,10.5,8.8333,17.3333,13.3333
69.1667,22.5,6,16.8333,19.8333
70.1667,11.6667,4.1667,16,19.5
71.6667,14.5,4.1667,16,23.1667
66,15,6.5,15,23.5
62.3333,10.6667,8.3333,14.5,21
56.1667,18,12.5,13.3333,17.3333
49.1667,16.6667,20.8333,13,19.1667
46.3333,25.8333,25.5,14,26
55.8333,12.6667,16.1667,14.5,24.1667
70.6667,22.3333,8,16.3333,25.6667
74.8333,24.3333,6.6667,17,27.3333
75,20.3333,5.6667,18,26.5
76.6667,14.3333,6,19,24.1667
78.6667,16.1667,5.6667,19.5,26.6667
81.1667,31.6667,4.8333,20.6667,28.5
83.5,20.5,4.8333,20.8333,29.5
85.3333,15,5.3333,21,27
87.6667,27.3333,5.8333,21,29.5
83.8333,26.1667,7.8333,20.3333,25.6667
80.6667,29,11,19.5,24
70.3333,31.5,20.1667,17.6667,19.3333
64.3333,20.8333,23.3333,16.6667,14.1667
71,22.1667,13.3333,16,14
69.3333,18,12,15,11.8333
73.3333,16.3333,6.3333,14.8333,16.6667
73.5,9.3333,4.8333,14.1667,17.3333
73.6667,16.3333,4.1667,14,16.6667
68.8333,16.3333,6.6667,13.3333,17.6667
62.8333,25,10.1667,12,14.5
61.6667,20.6667,11.5,11.8333,13.8333
43.3333,162.333,33,11,12.6667
35.6667,97.1667,45,12,17.3333
36.8333,7.8333,43.3333,13.5,15.1667
56,35.3333,24.3333,15.3333,16.1667
66.1667,63,18.3333,17.1667,14.6667
73.6667,115.5,15.8333,19.5,13.5
78.5,34.6667,15.6667,20.5,14.1667
86.6667,33,9.1667,21.1667,14
90.8333,21,6.8333,21.8333,17.5
91.8333,26,5.1667,22.3333,17.8333
91.8333,20.3333,4.3333,22.8333,21.5
90.3333,30.8333,4.8333,22.8333,23
90.1667,77.1667,5,20.5,31.3333
85.3333,133.167,5.6667,19.1667,27.3333
83.1667,29.8333,7.6667,16.8333,22
76.1667,118.167,9.5,15,13.8333
71.5,14.8333,11.5,14.3333,11.8333
61.3333,5,9.3333,12.6667,6.1667
51.3333,12.8333,16.3333,12.6667,5.8333
36.5,161.667,20.8333,12.1667,6.3333
31.8333,47.1667,26.1667,11.3333,4.3333
27.5,37.5,29.5,11.3333,6.5
27.3333,31.6667,27.8333,11.6667,5.8333
28,37.5,25.6667,11.1667,11.3333
15.5,33.1667,42,11,12.1667
10.1667,34,56.3333,11.6667,13.3333
19.1667,40.5,55,13.6667,12.3333
29.3333,48.6667,51.8333,15.8333,13.8333
50.1667,33.6667,38.3333,18.6667,14
69.3333,30,26,21,12.1667
82.3333,25.1667,13,22.8333,13.5
91.3333,26.3333,8.1667,24.6667,12.1667
98.5,30.8333,6.1667,24.3333,13
102.167,36.6667,5.8333,24,11.8333
98.3333,40,5.6667,23.8333,14.3333
95.1667,82.6667,6.3333,22,19.3333
89.3333,91.8333,6,20.5,28.3333
89,39.3333,6.8333,19.1667,28.3333
87.6667,34.3333,9.3333,17.5,20.6667
82.8333,41,10,15.6667,18.5
78.1667,25.1667,9.5,14.8333,17
72.1667,25.5,9.1667,14,10
60.1667,36,8.3333,12.3333,6.8333
57.1667,33.1667,6.3333,11.5,5.6667
46.3333,40.1667,6.8333,11,7.5
41.8333,65.3333,7,10.1667,5.6667
41.5,56.3333,7.5,10.1667,6.3333
40,38.6667,10.3333,10,6.5
32,32.8333,22,10,6.8333
31,37.5,23,10.6667,12.5
58,12.6667,16.3333,14,19.3333
75.3333,20.3333,7,16.5,28.3333
78.6667,26.6667,5.3333,17.5,30.3333
79.6667,30.1667,4.5,18.1667,29.8333
81.6667,32.5,4.8333,18.8333,32.6667
83.8333,32,4.5,19.1667,34.6667
88.6667,27.8333,4,20,34.5
88.8333,27.8333,4,20.5,27.5
90,36,4.3333,20.8333,30.5
96.1667,54.5,5.8333,20.1667,35.8333
93.1667,46.1667,6,19.6667,34.8333
77.1667,52.1667,5.6667,18.5,33.8333
65.6667,46.5,5.8333,16.8333,25.1667
59,43.6667,7.1667,15.8333,18
51.1667,34.8333,7.1667,15,11.5
40.1667,23.8333,12.3333,14.3333,8.6667
45.3333,9.1667,10.3333,15,13
45.5,16.5,8,14,11.3333
41.6667,15.1667,8,13.5,8
37.6667,15.8333,6.8333,12.6667,6.3333
27.8333,15.6667,7.8333,11.6667,4
26.5,10.1667,8.5,11,5.3333
22.8333,8,9,11.5,7.3333
27.5,10.5,15,13,10
40.3333,5,11.8333,16.1667,10.1667
53.1667,8.5,5.6667,17.6667,16.3333
61,14.8333,3.3333,17.8333,23.1667
61.5,15.1667,3,18.8333,22.1667
61.1667,13.6667,3.1667,19.1667,22
61.5,14.5,2.6667,20.6667,28.3333
61.6667,17.5,2.3333,21.1667,29
61.3333,26.3333,2.5,21.8333,28.3333
61.8333,36.3333,2.6667,21.5,31.1667
58.8333,52.6667,3,20.1667,27.3333
57.3333,30,3.5,19.1667,28.1667
59.1667,33,4,18.8333,27.8333
58,45.1667,4.8333,17.8333,21
53.5,38,4.5,17,16.3333
50.1667,38.6667,4.5,17,22.1667
50,35.3333,4.5,17,25.1667
48.6667,32.3333,4.5,17,27
45.6667,44.6667,5.8333,16.3333,27.5
41.8333,42.6667,4.3333,16.3333,26.8333
42.3333,50.6667,2.6667,16.1667,27
46.6667,8.1667,3,15.8333,19.5
41.8333,5.3333,3.3333,14.8333,13.5
34.3333,5.3333,4.6667,14,9.6667
33.6667,12.5,5.1667,15,9.3333
41.5,8.6667,4.8333,16.6667,21
50.1667,8.8333,4,18.1667,25.8333
60.1667,7.5,4,18.8333,31.5
65,5,3.1667,20.3333,34.6667
68.1667,5.5,3,21.6667,42.3333
71.3333,21.1667,3,22,42.5
69.1667,27.5,2.5,21.8333,42.1667
68.1667,21.5,2.1667,22,44
66.8333,24.8333,2.6667,22,40.3333
66.8333,36.6667,3,21.3333,38
64.8333,22.3333,3,20.5,39.3333
64.5,35.3333,3.3333,19.5,32.3333
62.8333,48.6667,4.3333,17.6667,26.1667
55.5,64.3333,4.8333,16.5,17.6667
49.5,46.1667,4.1667,16,13.5
42.8333,27.1667,5.3333,15.5,11.1667
40.6667,28.1667,5.1667,15,9.1667
39.1667,28.3333,4.1667,15,6.1667
36.8333,22.3333,4.1667,15,5.6667
34.6667,20.5,4,14.1667,4.1667
35.1667,11.1667,4,14,3.1667
27.5,10.8333,7.5,13.8333,3.8333
16.6667,10.3333,16.3333,13.5,4
15.8333,26.8333,18.3333,14.6667,4.5
30.5,24.5,20.6667,16.8333,7.8333
51.1667,5.6667,8.6667,18.3333,12.5
61.5,11.3333,4.1667,19.8333,18.3333
63.3333,18.6667,4.5,21,23.6667
60.1667,65.3333,7.8333,20,17.5
65.5,49.5,4.3333,21.8333,31.5
66.8333,57.1667,3.3333,22.5,35.6667
66.5,8.6667,3.3333,22.5,39.8333
66.1667,6.3333,3,22.1667,38.5
66.3333,12.8333,3,21.5,35.6667
67.3333,12,3.3333,20.8333,34.6667
64.3333,31.5,4.1667,19.3333,29.5
63,32.1667,6,17.8333,22.3333
57.8333,28.6667,7.3333,17,14.1667
56.3333,25.8333,5.6667,17,11.6667
52.6667,19.5,4.1667,16.8333,11.8333
48.5,15,3.8333,16,9.8333
43.5,32,3.3333,16,9.6667
41.5,21.5,3.8333,15.6667,6
32,8.6667,4,15,4.3333
30.3333,15.3333,5.5,15,6.5
35.8333,13,6.5,15,7.3333
29.1667,16.6667,14.3333,15,7.5
33.5,14.6667,14.5,15,12
28.8333,6.8333,25.6667,15,12.8333
39.5,5,11.8333,16.5,13.8333
55.3333,5.5,7.8333,17.8333,19.5
63.1667,6.3333,6.1667,19.1667,21.8333
68.5,5,5.8333,20.1667,27
73.6667,15.1667,5.5,20.1667,31.8333
79,5,4.8333,21.5,30.8333
79.1667,6.5,4.8333,22,29.6667
80.8333,27,5.1667,21.6667,31.6667
80,42,4.1667,20,38.8333
79.1667,18,4.8333,19.3333,34.1667
77.3333,25.8333,5,18,33.1667
74.6667,27.6667,5.6667,16.3333,28.1667
70.8333,25,5.6667,15.6667,20.5
66.1667,14.8333,4.8333,15,15
59.1667,22.1667,5.6667,14.6667,13.5
58.1667,16.1667,6.1667,15,19.5
55.1667,19,6,14.5,16.3333
47.1667,14.6667,5.5,13,8.8333
47.1667,14.1667,5.5,12,13.1667
45.8333,6.5,7.1667,12,11.8333
44,13.3333,10.6667,12,15.6667
34.8333,10.3333,19,11.8333,15.6667
25.8333,16.3333,33,12.3333,14.8333
45.1667,5.3333,20.1667,14.5,16.6667
64,5,9.1667,16.1667,23.1667
71.3333,6.5,6.5,17.5,25.8333
73.6667,15.5,4.8333,18.6667,27.6667
76.3333,20.8333,5.1667,19.1667,29.1667
76,18,5.5,19.5,27.8333
75.5,15.6667,6.1667,19.8333,26.6667
74.3333,26.6667,6,19,30
71.8333,23.1667,4.5,18,26.6667
74.5,18.8333,4.8333,18.1667,30.5
71.5,43.3333,6.1667,16.5,28.6667
70.3333,7.6667,7.3333,16.8333,24
68,31.1667,7.8333,15.5,20.3333
65,22,7,15,17.3333
60.6667,21,6.5,14,13.3333
54.6667,18,6.6667,13.3333,11.1667
51.8333,17.1667,8.6667,13.5,10.8333
53.3333,18.5,6.3333,14,10.6667
50.5,14.8333,5.3333,13.3333,8.8333
52.8333,13,5.1667,13,11
51,8.6667,5.6667,12,10
41,15.8333,18.6667,11,9.6667
28.1667,11.1667,41,11.1667,10.3333
52.1033,24.8317,12.9183,13.6667,6.1667
50.234,26.5167,12.734,16.1667,6.3333
31.6033,40.4967,36.8217,17,13.6667
88,26,7.6667,17,16.3333
94,21.3333,4.5,18.1667,17.8333
94.5,17.5,6,18.6667,23.6667
96.8333,6.3333,4.6667,19.5,26
96,24,5.6667,18.8333,26.5
95.6667,10.5,5.1667,19.5,30
98.5,12,4.3333,19.5,33
99.8333,34.3333,4.6667,18.8333,30.3333
100,17.1667,4.6667,18.3333,33.8333
97.8333,31.1667,6.8333,16.8333,31.3333
83,47.5,10.3333,13.8333,18.3333
74.5,16,14.1667,13.3333,15
74.8333,15.1667,10.5,12.5,15.8333
70.6667,8.1667,10,12,13.1667
70.3333,8.1667,8.1667,11.8333,12.1667
71.8333,11.6667,5.5,11,17.1667
72,18.1667,5.1667,10.8333,15.8333
71.8333,21.6667,4.6667,10,16.5
70.1667,21.1667,6.3333,9.8333,16
61.1667,22.5,12.1667,9,14.8333
44.3333,27,26.6667,9,9.3333
41.3333,24.6667,35.1667,10.5,11.3333
63.3333,7.1667,18,12.8333,15.6667
73.6667,15,8.6667,14.6667,22.6667
86.1667,15.1667,6.5,16.6667,27.1667
95.6667,21.3333,5.8333,18.1667,31.5
95.3333,22,6.3333,19.3333,29.5
93.6667,23.8333,5.8333,20.1667,29.6667
92.5,17.8333,5,20.8333,30.6667
91,20.5,4.3333,21.1667,32.5
88.1667,30.1667,4.8333,21,33.5
85.8333,23.5,5.3333,20.1667,31.3333
86.5,24.6667,6,19.8333,32.8333
88,18.8333,7.8333,19,29
78.6667,17.1667,9.1667,18.3333,27.1667
72.5,13.3333,8.5,18,24
72.3333,11,7.5,17.5,23.8333
66.5,16.1667,6.6667,16,23
67.8333,25.5,6.6667,15.5,28.8333
62.5,19.3333,5.5,14.8333,20.6667
57.3333,14.5,5.5,14,18.1667
60.5,8.1667,4.1667,14,26.3333
56.1667,8.6667,4.3333,13.1667,22.8333
49.8333,6.8333,6.5,13,14.3333
45.1667,5.8333,8.8333,13.5,13
54.8333,5,9,14.3333,16.1667
80.3333,5,5.3333,15.8333,20.1667
84.1667,5.5,4.3333,16.5,17
85.5,8,3.8333,17.8333,17.1667
89.1667,15.5,3.8333,19.1667,19.3333
92.5,8.3333,3.5,20.3333,17.3333
93.8333,15.8333,3.5,21.3333,18
94.1667,10.1667,3,22.3333,19.6667
93.6667,9,3,23.5,17.5
93.6667,14.1667,3.1667,23.8333,15.6667
94.6667,13.5,3,24.5,14.8333
95.1667,26.1667,3,24,13
96.8333,167.5,6.1667,23.1667,15
